id	name	description
phs000645	Location and Function of Cytosine-5 Methylation in RNA	Mutations in the cytosine-5 RNA methyltransferase NSun2 can cause neurodevelopmental disorders and symptoms commonly found in patients with Dubowitz-like syndrome. Some tRNAs are known to be methylated NSun2, however the  occurrence of cytosine-5 methylation (m5C) in other RNA biotypes is still under debate. Location in RNA and function of m5C has not been studied yet
phs000646	Breakpoint Detection Using Long Insert Whole Genome Sequencing	In this study, we hypothesize that shallow long insert whole genome sequencing (LI-WGS) increases our power for detecting breakpoints compared to shallow short insert WGS. We performed a priori analyses  to demonstrate the benefits of LI-WGS, developed a long insert library preparation protocol based off Illumina's protocol, and compared LI-WGS
phs000647	Study of Adaptation to Hypoxia in Ethiopian Highlanders	Although it has long been proposed that genetic factors contribute to adaptation to high altitude, such factors remain largely unverified. Recent advances in high-throughput sequencing have made it feasible to  analyze genome-wide patterns of genetic variation in human populations. Since traditionally such studies surveyed only a small fraction of the genome
phs000648	Pancreatic Cancer Case-Control Association Study	Pancreatic cancer is the 4th leading cause of cancer death in the United States. This is in large part due to the rapidly fatal course of this disease, as the  vast majority of patients die within months of diagnosis and the five-year survival rate is less than 5. We have brought together over 8000
phs000649	Pharmacogenomic Evaluation of Antihypertensive Responses (PEAR and    PEAR-2))	The primary aim of the Pharmacogenomic Evaluation of Antihypertensive Responses grant (funded by NIH Pharmacogenomic Research Network grant U01 GM074492) was to identify genetic determinants of blood pressure response and  adverse events after antihypertensive treatments. Two different clinical trials with genomic information available were included: PEAR-1 and PEAR-2
phs000652	Cohort-Based Genome-Wide Association Study of Glioma (GliomaScan)	We conducted a new independent GWAS of adult glioma using 1,856 cases and 4,955 controls from 14 cohort studies belonging to the Cohort Consortium, 3 case-control studies, and 1 population-based  case only study. Cases were newly diagnosed glioma [ICDO-3 codes 9380-9480 or equivalent], and controls were cancer-free at the time of glioma
phs000655	Genetics of Inherited Muscle Disease	The samples are drawn from a collection of patients with a heterogeneous set of neuromuscular disorders, including congenital muscular dystrophy, congenital myopathy, limb-girdle muscular dystrophy, Emery-Dreifuss muscular dystrophy, and arthrogryposis,  along with unaffected parents and siblings in some cases. The samples were collected by the following clinicians affiliated with the associated
phs000656	Genetic Measurement of Memory B-cell Recall Using Antibody Repertoire    Sequencing	We developed an improved high throughput sequencing approach to measure the quantities and sequences of the repertoire of antibody heavy chain RNA in a blood sample. Using this approach we  analyzed the antibody repertoire in response to yearly vaccinations with influenza vaccines TIV and LAIV in healthy adults in two subsequent years
phs000657	NGS in Advanced Cancers	In this study, we used NGS to identify somatic events in advanced stage cancer patients to demonstrate the feasibility for using this approach to improve patient treatment. Principal Investigator: Glen  Weiss, MD, Translational Genomics Research Institute, Phoenix, AZ, USA Co-Investigator: Winnie Liang, PhD, Translational Genomics Research Institute
phs000658	MDD2000AFFY	Sub-study QI: 941 cases of Major Depressive Disorder (MDD) from the Queensland Institute of Medical Research (QIMR), Australia Sub-study VU: 127 MDD cases from The Netherlands Study of Anxiety and  Depression (NESDA) (http://www.nesda.nl) and The Netherlands Twin Registry (NTR) (http://www.tweelingenregister.org) based at the VU Amsterdam, The
phs000659	Mount Sinai Hospital (MSH, Toronto, CANADA) pelvic pouch microbiome study	This study involved evaluation of the tissue associated microbiome of the ileal pouch following surgery for ulcerative colitis (UC) or familial adenomatous polyposis (FAP). Individuals were recruited, with biopsies taken  from the ileal pouch and the pre-pouch ileum, microbial DNA was extracted and sequenced using 454 pyrosequencing. Total bacterial community structure
phs000660	Chinese Alternating Hemiplegia of Childhood (AHC) Disease Study	AHC is a rare and severe neurological disorder, and characterized by episodic hemiplegia or quadriplegia attacks, accompanied by other paroxysmal symptoms of oculomotor abnormalities, dystonia, seizures and autonomic disturbances; the  age of onset usually occurrs before 18 months of life. Sodium-potassium ATPase alpha3 subunit (ATP1A3) has recently been identified as a causal gene
phs000661	Germline Sequencing for Aggressive Prostate Carcinoma	This study aims to elucidate the genetic determinants of susceptibility to aggressive prostate carcinoma. To this end, germ line whole exome sequence has been generated from patients with aggressive prostate  cancer. Whole genome sequence for a representative subset of tumors from patients whose cancer was resistant to primary therapy is included as well
phs000662	National Children's Study Vanguard Study Formative Research Study (NCS)	The National Children's Study (NCS) is a multi-year prospective epidemiological study tasked with identifying a nationally representative sample of 100,000 children and following them from pregnancy through age 21 to  study environmental impacts on growth, development, and health. Determination of NCS enrollee ancestry is important for assessing the diversity of
phs000663	Drug-Induced Liver Injury Network (DILIN)	The National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) has established the Drug-Induced Liver Injury Network (DILIN) to collect and analyze cases of severe liver injury caused by  prescription drugs, over-the-counter drugs, and alternative medicines, such as herbal products and supplements. Inclusion Criteria: Age 2 years at
phs000664	Genome Variations Among the Aboriginals in Malaysia	Copy number variation (CNV) has been recognized as a major contributor to human genome diversity. It plays an important role in determining phenotypes and has been associated with a number  of common and complex diseases. However the CNV data from diverse populations is rather limited. Here we report the first investigation of copy
phs000666	B and T Cell Determinants of Influenza Vaccine Responses in the Elderly	The study sequenced antibody heavy chain gene rearrangements from human subjects receiving influenza vaccination. Inclusion: Age 18-30, 60-79, or 80-100 years, inclusive at time of initial enrollment General good health  and ambulatory at time of enrollment No acute illness at time of vaccination Willing and able to sign Informed Consent Available for follow-up for
phs000669	AMBER Consortium	The AMBER Consortium Study was formed to pool interview data, questionnaire data, and biological samples from epidemiological studies of breast cancer in African-American women to discover the potential causes of  early-onset and aggressive breast cancer in African-American women. AMBER is funded through a Program Project grant from the National Cancer
phs000670	PGRN Antidepressant Medication Pharmacogenomic Study (AMPS)	This pharmacogenomic study focused on the response of patients with MDD to an 8-week course of treatment with citalopram or escitalopram. Briefly, clinical assessments and research assessments were performed at  each study visit as summarized in Table 1. Many patients continued on antidepressant medication after the 8 week study. Table 1: Study timeline and
phs000671	Somatic Mutations in Variant and IGHV4-34 Expressing Hairy Cell Leukemia	To understand the genetic mechanisms driving variant and IGHV4-34 expressing hairy-cell leukemia, we performed whole exome sequencing of tumor/normal pairs from ten patients. All patients have either IGHV4-34 expressing classic  hairy cell leukemia, IGHV4-34 expressing variant hairy-cell leukemia, or IGHV4-34 non-expressing variant hairy-cell leukemia. Principal Investigator
phs000672	NIDCR Sj&#x000f6;gren's International Collaborative Clinical Alliance (SICCA)	The Sj&#x000f6;gren's International Collaborative Clinical Alliance (SICCA) is a multisite observational cohort study that recruited a large cohort of geographically diverse participants. Enrollment of participants began in late 2004 at  five (one domestic and four international) sites, in which all groups used the same protocol-directed methods to provide uniform evaluations; collect
phs000673	University of Michigan Clinical Sequencing Exploratory Research (CSER)	"Overview. The personalization of therapy for cancer will require molecular characterization of unique and shared genetic aberrations. In particular, patients who have a sarcoma or other rare cancers and are  candidates for clinical trials could potentially benefit by identifying eligibility for ""targeted"" drugs based on the ""actionable"" genes in their"
phs000676	Sequence-Based Analysis of Human Breast Tumors	The goal of this study is to study gene expression patterns in tumors, normal tissues, and cell lines. Principal Investigator: Charles Perou, PhD, Lineberger Comprehensive Cancer Center, University of North  Carolina at Chapel Hill,Chapel Hill, NC, USA Funding Source: P50-CA058223, P50-CA058223
phs000677	An APOBEC Cytidine Deaminase Mutagenesis in Human Cancers	"Reprinted from Roberts et al. ""An APOBEC cytidine deaminase mutagenesis pattern is widespread in human cancers"", Nature Genetics, 45:970-976, 2013, with permission of Nature Publishing Group: Recent studies indicate that  a subclass of APOBEC cytidine deaminases, which convert cytosine to uracil during RNA editing and retrovirus or retrotransposon restriction, may"
phs000678	A Family-Based Study of Genes and Environment in Young-Onset Breast    Cancer	To study environmental and genetic causes of young onset breast cancer, we recruited women who had been young when recently diagnosed (under age 50 and within 4 years of enrollment),  and had been identified as potentially eligible by a sister who was already participating in the ongoing Sister Study. The unaffected sister had
phs000679	Genome-Wide Association Study of Anorexia Nervosa	Twin studies are consistent with substantial heritability in anorexia nervosa (AN), although detecting and confirming individual risk alleles has been difficult, due to small effects of single alleles and limited  samples in prior studies. Methods: 1105 AN DNA samples obtained in a multisite study and 3733 pediatric patients of normal body weight were genotyped
phs000681	Diabetes Prevention Program Genetics (DPPG)	The Diabetes Prevention Program (DPP) was a multicenter controlled clinical trial examining the efficacy of an intensive lifestyle intervention or metformin to prevent or delay the development of diabetes in  a population selected to be at high risk due to the presence of impaired glucose tolerance (IGT) and obesity. Development of diabetes, defined by
phs000682	Genetics of Neuropsychiatric and Neurodevelopmental Disorders	Although schizophrenia is a highly heritable disease, relatively little progress had been made in securely identifying the genetic causes of this disorder, and most instances of schizophrenia in the general  population remain unexplained. One avenue of explanation for the genetic basis of schizophrenia, however, has been effectively closed by recent
phs000683	SIGMA Type 2 Diabetes Consortium	Diabetes in Mexico Study (DMS): Individuals were enrolled in the study, recruited from two tertiary level institutions (IMSS and ISSSTE) located in Mexico City. The diagnosis of T2D was made  based on ADA criteria. 811 unrelated healthy subjects older than 45 years and with fasting glucose levels below 100 mg/dL were classified as controls
phs000687	Bulgarian Schizophrenia Trio Sequencing Study	The primary aim of this study is to whole exome sequence complete Bulgarian trios to identify de novo mutations in schizophrenic probands. We are investigating the rate of de novo  mutations in probands as well as looking for enrichment among previously implicated genes and synaptic gene sets. Probands of this study (N 623
phs000689	Genomic Analysis of Peripheral T-Cell Lymphomas	Peripheral T-cell lymphomas (PTCLs) are a heterogeneous and poorly understood group of non Hodgkin lymphomas. We aim to identify new genetic alterations in PTCL transformation by using a combination of  whole exome sequencing of tumor-normal DNA pairs, RNAseq analysis and targeted deep sequencing of candidate genes. Our data identified highly
phs000690	Whole-genome sequencing in multiplex epilepsy families	Epilepsy is one of the most common neurologic disorders, affecting approximately 4% of individuals at some time in their lives. More than 30% of people with epilepsy continue to have  seizures despite treatment, and improved approaches to treatment and prevention are sorely needed. In the search for new strategies to reduce the
phs000691	CIP: Differential Response to Hydroxyurea and Incidence of Stroke in    Sickle Cell Disease	Sickle cell disease (SCD) is a severe debilitating hematological disorder associated with a high degree of morbidity and mortality. There are approximately 200,000 babies born with sickle cell disease each  year, with the disease predominately affecting individuals in Africa. The overall global burden of the disease is tremendous, with more than 100,000
phs000692	A Pharmcogenetic Study of Bipolar Disorder in a Taiwanese Han Chinese    Population (TWBP)	Objective: To identify genetic variants associated with response to lithium prophylaxis treatment. Materials: 294 bipolar I (BPI) patients receiving lithium treatment, a subset of 1761 bipolar I (BPI) patients recruited  by the Taiwan Bipolar Consortium. Lithium response was assessed based on the Alda Scale. Methods: Responders to lithium treatment were defined if the
phs000693	University of Washington Center for Mendelian Genomics (UW-CMG)	The Centers for Mendelian Genomics project uses next-generation sequencing and computational approaches to discover the genes and variants that underlie Mendelian conditions. By discovering genes that cause Mendelian conditions, we  will expand our understanding of their biology to facilitate diagnosis and new treatments. Note: Raw sequencing data, metadata, vcf and phenotype
phs000694	Clinical Cancer Sequencing	Translating whole exome sequencing (WES) for prospective clinical use may impact the care of cancer patients; however, multiple innovations are necessary for clinical implementation. These include: (1) rapid and robust  WES from formalin-fixed paraffin embedded (FFPE) tumor tissue, (2) analytical output similar to data from frozen samples, and (3) clinical
phs000695	A Phase I/II Trial of Sirolimus (Rapamune&#x000ae;) and Cyclosporine in Patients    with Refractory Aplastic Anemia	The most successful treatment for aplastic anemia is bone marrow transplantation. However, few patients are eligible for this procedure. For others, treatment usually consists of immunosuppressive agents, such as antithymocyte  globulin (ATG) and cyclosporine. Unfortunately, even with immunosuppressive therapy, relapse is common. New combinations of medications may offer
phs000696	Exome Sequencing of Craniopharyngiomas	Craniopharyngiomas are epithelial tumors of the brain that form in the suprasellar region. Patients experience a broad range of sequelae from growth of the tumors and from therapeutic interventions. We  used whole exome sequencing to investigate the genetic aberrations in both adamantinomatous and papillary craniopharyngiomas. We found mutations in
phs000697	Effects of Antithymocyte Globulin in Adults With Myelodysplastic Syndrome	In people with MDS, the bone marrow stops making healthy blood cells and instead produces poorly functioning, malformed, and immature blood cells. This can lead to anemia resulting from too  few healthy red blood cells, infection resulting from too few healthy white blood cells, and bleeding resulting from too few healthy platelets. The
phs000698	The Use of High Resolution Chest Computed Tomography in Alpha-1    Antitrypsin Deficiency (QUANTUM-1)	AAT deficiency is a genetic disorder associated with emphysema. Spirometry, the lung function test that measures how well the lungs exhale air, is used to diagnose and track the progression  of emphysema. Some studies have suggested that forced expiratory volume in 1 second (FEV1) measurements, a type of spirometry test, may lack accuracy
phs000699	Osteosarcoma Genomics	In this study we attempt to elucidate the genomic characteristics of osteosarcoma. Clinical characteristics 58 tumor / normal pairs from 58 patients were included in the study. Median age at  diagnosis was 12 years. 49% of the patients were male and 47% had metastases at diagnosis. 5 year overall survival was 49% for the entire population
phs000701	Dietary Supplements for the Treatment of Angelman Syndrome	This study has been designed to evaluate the possible therapeutic benefits of L-5-methyltetrahydrofolate (Metafolin), vitamin B12, creatine and betaine in children with Angelman Syndrome (AS). This study is based on  the hypotheses 1) that dietary manipulation may increase global DNA methylation; 2) that increased methylation of the paternal chromosome in AS
phs000706	RAD50 Hypomorphism as Basis for Response to Chemotherapy	Outlier analyses represent a versatile method to identify predictive biomarkers of response to both targeted agents and chemotherapy. We performed whole genome sequencing (WGS) of tumor and germline blood from  a patient with metastatic small cell carcinoma of the ureter who experienced a durable complete response to a combination of irinotecan plus AZD7762
phs000707	Next Generation Mendelian Genetics: Hereditary Neurological Disorders	The NHGRI Next Generation Mendelian Genetics project uses exome resequencing to identify variants in unsolved Mendelian diseases. This dataset was obtained from exome analyses of people with hereditary neurologic disorders  of unknown cause. Individuals with inherited neurologic disorders of unknown etiology were included in the studies. In most cases there is a
phs000708	Warfarin Pharmacogenetics: Pharmacogenetic Optimization of Anticoagulant    Response (POAT) and Genetic and Environmental Determinants of Warfarin    Response (GEDWR)	Although the efficacy of warfarin in the treatment and prevention of thromboembolic disorders is proven, it is vastly underutilized with difficulties in management and risk of complications being the main  deterrents. Recognition of genetic regulation of warfarin response has fueled efforts to quantify this influence, but the focus has been restricted
phs000709	The Genome and Transcriptome of Fibrolamellar Hepatocellular Carcinoma	Fibrolamellar hepatocellular carcinoma (FL-HCC) is a rare liver tumor primarily affecting adolescents and young adults. Little is known of the molecular pathogenesis. To characterize the disease we performed RNA sequencing  and whole genome sequencing on FL-HCC tumors and adjacent normal tissue. The results demonstrate few consistent differences on the chromosomal level
phs000710	1000 Genomes Used for Cloud Testing	This study provides public access to a demonstration subset of 1000 genomes sequence data in dbGaP. It is intended to be used by software developers who design, implement and validate  pipelines for dbGaP data. While this project distributes only public data, it uses dbGaP security mechanisms which include a project-specific
phs000711	Baylor Hopkins Center for Mendelian Genomics (BH CMG)	The Centers for Mendelian Genomics project uses next-generation sequencing and computational approaches to discover the genes and variants that underlie Mendelian conditions. By discovering genes that cause Mendelian conditions, we  will expand our understanding of their biology to facilitate diagnosis and new treatments. Sequencing Centers: Baylor Hopkins Center for Mendelian
phs000712	UIC ACE Exome Sequencing Analysis	Autism spectrum disorder (ASD) is highly heritable with recent sibling recurrence risk estimates of 19% overall and 26% in males. The heritable phenotype of hyperserotonemia, or elevated levels of platelet  serotonin (5HT), in 35% of people with ASD is a well-established biomarker. The efficacy of drugs like risperidone and potent serotonin transporter
phs000713	GDNF and Anxiety	GDNF gene variants were studied as possible risk factors of depression or anxiety on a young sample. The association study involved eight (rs1981844, rs3812047, rs3096140, rs2973041, rs2910702, rs1549250, rs2973050 and  rs11111) GDNF single nucleotide polymorphisms and anxiety and depression scores measured by the Hospital Anxiety and Depression Scale (HADS) on 708
phs000714	NICHD Genomic and Proteomic Network for Preterm Birth Research (GPN)	We performed genome-wide association studies (GWAS) to study the Spontaneous Preterm birth (SPTB). Maternal and neonatal DNA from 743 SPTB (20 to and less than 34 weeks), and 752 controls  (39 to and less than 42 weeks) who fully consented for public research usage were collected from participants in several clinical centers in Alabama
phs000715	NINDS MS and ADEM Deep Sequencing Studies	Deep sequencing allows for a rapid, accurate characterization of microbial DNA and RNA sequences in many types of samples. Deep sequencing (also called next generation sequencing or NGS) is being  developed to assist with the diagnosis of a wide variety of infectious diseases. In this study, seven frozen brain samples (n 7) from deceased
phs000716	GWAS of Lung Cancer Susceptibility in Never-Smoking Women in Asia	To learn about the etiology of lung cancer among never-smoking women in Asia, we formed the Female Lung Cancer Consortium in Asia (FLCCA), which includes studies of lung cancer in  Eastern Asia and conducted a GWAS. We analyzed a total of 5510 lung cancer cases and 4544 controls and identified 3 novel loci (Lan et al., 2012). Of
phs000717	Genomics of Circulating Tumor Cells	Comprehensive analyses of cancer genomes in clinical settings promise to inform prognoses and guide the deployment of precise cancer treatments. A major barrier, however, is the inaccessibility of adequate metastatic  tissue for accurate genomic analysis in prostate and other cancers. A potential solution is to characterize circulating tumor cells (CTCs), but this
phs000718	Trisomy 21 Nondisjunction (T21NDJ)	The overall goal of the project is to identify genetic risk factors associated with chromosome 21 nondisjunction in the oocyte. The dataset derives from multi-site collection of live birth probands  with Down syndrome due to standard trisomy 21 (T21) and their biological parents. The type of nondisjunction error (NDJ)(maternal or paternal) in all
phs000719	Genetic Basis of Pulmonary Non-tuberculous Mycobacterial Infections	This project aims at characterizing the human host susceptibility to pulmonary non-tuberculous mycobacterial (PNTM) infections. PNTM infections occur in patients with chronic lung disease, but also in a distinct group  of elderly women without lung defects but who share a common body morphology: tall and lean with scoliosis, pectus excavatum, and mitral valve
phs000720	Genomic sequencing of Pediatric Rhabdomyosarcoma	Rhabdomyosarcoma (RMS) is the most common soft tissue sarcoma of childhood accounting for approximately 350 newly diagnosed cases yearly in the United States. With the development of multimodal chemotherapy regimens,  relapse-free survival rates have improved to 70-80% in patients with localized disease albeit with significant toxicity. Unfortunately, despite
phs000722	DFCI Colorectal Cancer Cohorts	Colorectal cancer is a molecularly heterogeneous disease. Whole Exome Sequencing from patients diagnosed with colorectal cancer in the NHS and HPFS cohorts will extend our understanding of the genetic changes  occurring in specific clinical contexts in the disease. This effort has the potential to discover novel recurrently mutated genes and pathways in
phs000723	Sequencing of Cervical Cancer	Precision mapping of genetic alterations in cancer can enable better selection of therapies and improved outcomes when combined with new sequencing diagnostics. We describe whole-exome sequences from cervical adenocarcinomas and  paired normal samples in Hong Kong Chinese women. These data uncover a heterogeneous genomic landscape but identify commonly aberrant loci including
phs000726	Genome-Wide Association Study of Myasthenia Gravis	The purpose of this project was to conduct a genome-wide associate study to search for the genetic factors that predispose to myasthenia gravis. The rationale for this study lies in  the fact that, although the immunological and physiological processes affecting the neuromuscular junctions of myasthenia gravis patients are well
phs000727	miRNA Profiles in Serum and CSF of Parkinson's and Alzheimer's Patients	We profiled the miRNA contents from cerebrospinal fluid and serum (using next generation sequencing) from postmortem patients diagnosed with Alzheimer's or Parkinson's disease, and neurologically normal controls. All biofluids were  cell-free and patient matched, there was one cerebrospinal fluid and one serum sample from each of 70 patients with Alzheimer's disease, 67 patients
phs000728	Lung Cancer Susceptibility in Smokers	Over 85% of all patients diagnosed with lung cancer report a history of tobacco use, though only 10% of tobacco smokers eventually develop lung cancer. Epidemiologic studies have shown that  family members of patients with lung cancer have a higher risk of developing lung cancer than controls. In an effort to identify variants associated
phs000729	Follicular Lymphoma 2013 - Malek	A cohort of follicular lymphoma cases had tumor cells purified from tissue samples after informed consent using flow cytometry. DNA was extracted from the cells, and samples were subjected to  solution-based exome capture using the Illumina TruSeq Exome Enrichment Kit and the Illumina HiSeq 2000 platform. Patients were enrolled between 2008
phs000730	Genomics of Brain Metastases	Brain metastases are the most frequently occurring intracranial tumors in adults. Median survival after the diagnosis of a brain metastasis is in the order of a few months. Despite its  large burden of disease and devastating clinical sequelae, we continue to have a limited understanding of the molecular mechanisms driving brain
phs000732	L1-seq and genome-wide SNP genotyping in a multiethnic Asian population	Insertions of the human-specific subfamily of LINE-1 (L1) retrotransposon are highly polymorphic across individuals and can critically influence the human transcriptome. We hypothesized that L1 insertions could represent genetic variants  determining important human phenotypic traits, and performed an integrated analysis of L1 elements and single nucleotide polymorphisms (SNPs) in
phs000733	ICPCG Genome Wide Association Study of Familial Prostate Cancer	Initially, the ICPCG focused largely on high-risk prostate cancer pedigrees using linkage analysis. However, association studies have also been informative to find prostate cancer susceptibility variants in the genome. We  hypothesize that genome-wide (GW) association studies of familial cases of prostate cancer will have the power to identify rarer and perhaps less
phs000734	Osteosarcoma Genome-Wide Association Study	This is a genome-wide association study (GWAS) of osteosarcoma, the most common primary bone malignancy. Osteosarcoma typically occurs in adolescents and young adults. It occurs at increased frequency in several  inherited cancer predisposition syndromes but the genetic contribution to sporadic osteosarcoma is largely unexplored. The objective of this study
phs000735	The Placenta Harbors a Unique Microbiome	This study is to investigate placental microbiome through 16S rDNA-based and whole genome shotgun metagenomic sequencing. Identified taxa and their gene carriage patterns were compared to other human body sites  niches. The placental microbiome profiles were most akin to the human oral microbiome. Exclusion Criteria Subjects with fatal fetal anomalies, fetal
phs000737	NIDDK Genetics of Metabolic Syndrome in an Island Population	The major objective of this study was to conduct a systematic genetic study of metabolic traits involved in metabolic syndrome through collection and analysis of epidemiological, demographic, environmental, and relevant  biological and clinical data from a relatively isolated island population of the eastern Adriatic coast of Croatia. The population was chosen for the
phs000738	Exome Sequencing in Schizophrenia Families	Schizophrenia is a complex neuropsychiatric disorder characterized by marked genetic heterogeneity. Much of the genetic architecture of the disorder has yet to be explained, but de novo mutations appear to  play an important role. We used exome sequencing of parent-offspring quads and trios to detect de novo mutations in persons with schizophrenia
phs000739	Identification of Recurrent SMO and BRAF Mutations in Ameloblastomas	RNA-seq data from two cases of ameloblastoma was analyzed for candidate gene fusions and point mutations. Recurrent point mutations identified in the RNA-seq data, as well as mutations identified with  limited panel targeted deep sequencing, were validated as somatic. Expanding to a larger cohort of 28, one of two activating mutations was found in
phs000740	Whole Genome Sequencing of Waldenstrom's Macroglobulinemia	Whole genome sequencing was conducted on 10 tumor/germline paired samples along with 20 additional unpaired tumor samples from patients with Waldesntrom's macroglobulinemia. Tumor lymphoplasmacytic lymphoma cells were obtained from CD19+  selected bone marrow mononuclear cells. Germline tissue was obtained from CD19 depleted peripheral blood mononuclear cells. High molecular weight DNA
phs000741	Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics    Study	The GOLDN study was initiated to assess how genetic factors interact with environmental (diet and drug) interventions to influence blood levels of triglycerides and other atherogenic lipid species and inflammation  markers (registered at clinicaltrails.gov, number NCT00083369). The study recruited Caucasian participants primarily from three-generational
phs000742	The Epilepsy Phenome/Genome Project	The Epilepsy Phenome/Genome Project (EPGP) is a large-scale, international, multi-institutional, collaborative research project, sponsored by the National Institute of Neurological Disorders and Stroke, designed to understand the genes that cause  common and rare epilepsies. The overall goal of EPGP is to collect detailed, high quality phenotypic (i.e., characteristics of individuals, from the
phs000744	Yale Center for Mendelian Genomics (Y CMG)	Yale University is home to one of three national centers created by the NIH to study the genetics of rare inherited diseases. Researchers at Yale, the University of Washington, and  a center operated jointly by Baylor and Johns Hopkins University will analyze the genomes of thousands of patients who suffer from more than 6,000
phs000745	RNAseq analysis of posterior cingulate astrocytes in Alzheimer's disease	In this study, RNA sequencing was performed on astrocytes microdissected from the posterior cingulate cortex of Alzheimer's disease subjects and healthy elderly controls. Alzheimer's subjects had expired ages 65, frequent  plaque densities, Braak scores of at least IV, and intermediate to high criteria met for NIA-R. Healthy elderly controls had expired ages of 65, zero
phs000747	Whole Exome and Transcriptome Sequencing in Sporadic ALS	Amyotrophic lateral sclerosis (ALS), also known as Lou Gehrig's disease, is a fatal and devastating neurodegenerative disorder that causes the progressive death of upper and lower motor neurons. Although many  efforts have been done to elucidate molecular factors involved in the onset and progression of the disorder, the causes of ALS are yet unknown and
phs000748	Multiple Myeloma CoMMpass Study	The Multiple Myeloma Research Foundation (MMRF) CoMMpass (Relating Clinical Outcomes in MM to Personal Assessment of Genetic Profile) trial (NCT01454297) is a longitudinal observation study of 1000 newly diagnosed myeloma  patients receiving various standard approved treatments that aim at collecting tissue samples, genetic information, Quality of Life (QoL) and various
phs000750	Genomic Origins and Admixture in Latinos (GOAL)	The GOAL Study was designed to comprehensively evaluate the genomic architecture of diverse Hispanic/Latino individuals with origins from the Caribbean, Central and South America, and to understand the impact of  this diversity on genetic disease studies. Population structure and admixture are key confounders in genome-wide association and medical resequencing
phs000751	GWAS in Fibrosing Interstitial Lung Disease	This study was a case-control genome-wide association study of 1616 non-Hispanic white cases and 4683 controls. Under an additive model for the minor allele at each SNP, we identified 19  SNPs, representing 7 chromosomal locations (5p15, 6p24, 7q22, 11p15, 15q14-15, 17q21, and 19p13), with genome-wide significant (P 5x10-8
phs000753	High Density SNP Association Analysis of Lung Cancer	This research builds upon an extensive resource of a case-control study that has been ongoing at the UT MD Anderson Cancer Center since 1991. To identify risk variants for lung  cancer, we conducted a genome-wide association study. Cases are newly diagnosed, histologically-confirmed patients presenting at MD Anderson Cancer
phs000756	Exome Sequence of Finnish Sub-Isolate Samples from the FINRISK Cohort	We propose to undertake, at the McDonnell Genome Institute of Washington University, a collaborative exome sequencing project of 10,000 samples from a large Finnish population cohort, FINRISK, a participating component  of the Sequencing Initiative Suomi (SISu) consortium. Together these sequenced samples will provide a unique resource for identification of
phs000757	Ataxia Gene Identification by Integrated Genomic Analysis	Ataxias are a group of diseases that result in a lack of coordinated muscle movement. Hereditary ataxias are genetically heterogeneous and it is reported that 40% of suspected genetic ataxias  currently have an unknown cause. We used exome sequencing to detect mutations responsible for ataxia. We sequenced, when available, multiple
phs000758	Family Genomics of Congenital Heart Defects	The study identified the causal mutation in a five-generation pedigree harboring a cardiac septal defect. The inheritance pattern is consistent with an autosomal dominant mutation with high penetrance. We performed  whole-genome sequencing (Complete Genomics) on 21 individuals in the pedigree, of which 11 individuals are affected. We identified a single gene
phs000759	Spectrum of Mutations in Myeloid Neoplasms	Patients with myeloid malignancies bearing high-risk cytogenetic abnormalities lack effective therapies and have a poor overall survival. -7/del(7q) is identified in half of high-risk myeloid neoplasms. We recently identified CUX1  to be a haploinsufficient myeloid tumor suppressor gene located within the commonly deleted segment of 7q22. Here we identify the spectrum of somatic
phs000760	Human Responses to Influenza Vaccination	The data consist of the DNA sequences of antibody gene rearrangements from peripheral blood human B cells of subjects vaccinated with trivalent seasonal influenza or monovalent pandemic H1N1 vaccine. Multiple  replicate libraries of immunoglobulin heavy chain gene rearrangements were prepared from each subject for each time point. The seven healthy vaccine
phs000763	The Collaborative Study on the Genetics of Alcoholism (COGA)	COGA is a family study of alcoholism, in which the subjects have been drawn from the Collaborative Study on the Genetics of Alcoholism (COGA), a large, ongoing family-based study that  includes subjects from seven sites around the US. COGA has gathered detailed, standardized data on study participants, including diagnostic and
phs000766	GEI Studies - Psoriasis	The GEI Studies Project was started as an NIH consortium involving 5 disease groups with funding provided through the Genes, Environment, and Health Initiative (GEI). The objective of the project  was to optimize strategies for identifying rare variants as a follow up to genome-wide association studies (GWAS) using next-generation sequencing
phs000767	The UC San Diego Chronic Lymphocytic Leukemia (CLL) Study	The UC San Diego Chronic Lymphocytic Leukemia Study is designed to identify genetic, epigenetic, and transcriptional changes important for CLL. This data release consists of samples collected to 1) identify  genomic changes associated with CLL progression using serially collected tumor samples; 2) characterize the transcriptional consequences of SF3B1
phs000768	Genomic Sequencing of Ewing's Sarcoma	The Ewing sarcoma family of tumors (EFT) is a group of malignant small round blue cell tumors that arise in bone or soft tissue. Ewing sarcoma (ES) is the second  most common type of primary bone tumor to affect children and adolescents and accounts for 2.9% of all childhood cancers. This data set reports whole
phs000769	NHLBI Lung HIV Microbiome Project (LHMP)	Humans interact with countless microorganisms in multiple environments. The Lung HIV Microbiome Project (LHMP) characterized the microbiome of the lung and respiratory tract. This effort provided initial data to develop  further hypotheses addressing differences between HIV-infected and HIV-uninfected individuals. The project involved multiple studies, either single
